epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2969.65,0.84554,0.40827,1.41201,0.99843,1,0.995,0.7153,1.26599,0.45446,1.03336,0.000410409,0.000410409,0.000410409
74,3013.44,0.80824,0.40146,1.41409,0.99853,1,0.995,0.71563,1.2878,0.47721,1.02277,0.000396262,0.000396262,0.000396262
75,3057.22,0.80578,0.38947,1.39797,0.99781,0.99974,0.995,0.72796,1.24636,0.44842,0.99396,0.000382115,0.000382115,0.000382115
76,3100.71,0.81538,0.38953,1.40143,0.99329,1,0.995,0.72821,1.25813,0.45292,1.0186,0.000367967,0.000367967,0.000367967
77,3144.15,0.81901,0.39623,1.38557,0.99894,1,0.995,0.7243,1.26657,0.44747,1.03202,0.00035382,0.00035382,0.00035382
78,3187.57,0.80333,0.40062,1.41323,0.99853,1,0.995,0.73034,1.25557,0.44412,0.98953,0.000339673,0.000339673,0.000339673
79,3230.92,0.81305,0.39801,1.41309,0.99881,1,0.995,0.73221,1.25435,0.45565,1.03832,0.000325526,0.000325526,0.000325526
80,3274.18,0.81982,0.39087,1.41968,0.99828,1,0.995,0.73439,1.26446,0.4515,1.01495,0.000311379,0.000311379,0.000311379
81,3317.57,0.79626,0.38617,1.39271,0.99889,1,0.995,0.73399,1.26101,0.45455,1.03335,0.000297232,0.000297232,0.000297232
82,3361.12,0.80387,0.39457,1.41062,0.99883,1,0.995,0.73228,1.26588,0.45376,1.01603,0.000283085,0.000283085,0.000283085
83,3404.62,0.8033,0.38967,1.39316,0.99658,1,0.995,0.728,1.27739,0.45929,1.0577,0.000268938,0.000268938,0.000268938
84,3448.16,0.80581,0.39058,1.38183,0.99862,1,0.995,0.7332,1.25724,0.44988,1.05878,0.000254791,0.000254791,0.000254791
85,3491.53,0.82825,0.39629,1.38595,0.99903,1,0.995,0.74082,1.247,0.4573,1.06842,0.000240644,0.000240644,0.000240644
86,3535.01,0.80047,0.37999,1.39294,0.99854,1,0.995,0.73746,1.24459,0.45298,1.06326,0.000226497,0.000226497,0.000226497
87,3578.4,0.80892,0.37717,1.37977,0.99849,1,0.995,0.72712,1.24799,0.45604,1.03542,0.000212349,0.000212349,0.000212349
88,3621.85,0.79093,0.37842,1.38904,0.99897,1,0.995,0.73633,1.2495,0.4442,1.03379,0.000198202,0.000198202,0.000198202
89,3665.29,0.78591,0.37142,1.3893,0.99853,1,0.995,0.73658,1.25153,0.44661,1.01769,0.000184055,0.000184055,0.000184055
90,3697.86,0.78272,0.36603,1.36426,0.9987,1,0.995,0.73707,1.24543,0.44913,1.04869,0.000169908,0.000169908,0.000169908
91,3772.31,1.28395,0.4161,1.02354,0.99901,1,0.995,0.72965,1.26403,0.45178,1.03251,0.000155761,0.000155761,0.000155761
92,3816.14,1.33185,0.40741,1.01052,0.99838,1,0.995,0.72842,1.25147,0.4465,0.98371,0.000141614,0.000141614,0.000141614
93,3859.49,1.36655,0.40953,0.96944,0.99887,1,0.995,0.73004,1.2489,0.43706,0.97156,0.000127467,0.000127467,0.000127467
94,3902.92,1.38155,0.41243,0.9162,0.99857,1,0.995,0.7354,1.24788,0.44741,0.99223,0.00011332,0.00011332,0.00011332
95,3946.4,1.35158,0.40458,0.96187,0.99876,1,0.995,0.73104,1.25771,0.44136,0.98576,9.91726e-05,9.91726e-05,9.91726e-05
96,3989.9,1.38335,0.41144,0.92279,0.99862,1,0.995,0.73982,1.24586,0.43082,1.00713,8.50255e-05,8.50255e-05,8.50255e-05
97,4033.18,1.40341,0.40858,0.93324,0.99853,1,0.995,0.72897,1.25381,0.43824,0.98153,7.08784e-05,7.08784e-05,7.08784e-05
98,4076.66,1.35172,0.39838,0.94246,0.9985,1,0.995,0.73421,1.25473,0.43016,0.98335,5.67313e-05,5.67313e-05,5.67313e-05
99,4120.09,1.34822,0.39221,0.94432,0.99894,1,0.995,0.73772,1.24757,0.43177,0.99236,4.25842e-05,4.25842e-05,4.25842e-05
100,4163.57,1.33046,0.39362,0.94234,0.99892,1,0.995,0.73525,1.2471,0.42893,0.98,2.84371e-05,2.84371e-05,2.84371e-05
